index,image,height,width,type,original_dataset,scenario,airport,runway,time_to_landing,weather,night,time,slant_distance,along_track_distance,height_above_runway,lateral_path_angle,vertical_path_angle,yaw,pitch,roll,watermark_height,x_A,y_A,x_B,y_B,x_C,y_C,x_D,y_D,bbox_area,bbox_area_ratio,approach,label,split
58,LARD_test_synth/images/EDDV_09L_35_28.jpeg,2648,2448,earth_studio,LARD_test_synth,EDDV_09L_35,EDDV,09L,,,,2020-08-01 14:01:01,0.07,0.06,78.77,-0.32,3.24,95.59297843084742,86.58842368080208,-0.2125201149473738,300.0,1359,1084,1312,1086,1513,1735,269,1772,855872,0.1320320676105286,,1,test
291,LARD_test_synth/images/LFSB_33_35_29.jpeg,2648,2448,earth_studio,LARD_test_synth,LFSB_33_35,LFSB,33,,,,2020-08-01 13:00:01,0.1,0.1,77.92,-0.02,2.82,-28.70118456353769,84.5341564368182,8.838726319992743,300.0,1422,998,1354,1009,1998,1348,868,1514,583080,0.0899494994372371,,1,test
61,LARD_test_synth/images/EDDV_27R_35_30.jpeg,2648,2448,earth_studio,LARD_test_synth,EDDV_27R_35,EDDV,27R,,,,2020-04-01 15:01:01,0.11,0.11,86.39,-0.06,3.01,-86.45323163941875,88.65489485228139,-5.098400373106211,300.0,1250,958,1295,959,816,1376,1596,1393,339300,0.0523425004442864,,1,test
292,LARD_test_synth/images/LFSB_33_35_30.jpeg,2648,2448,earth_studio,LARD_test_synth,LFSB_33_35,LFSB,33,,,,2020-08-01 14:01:01,0.06,0.06,76.93,-0.08,3.3,-23.98701056963192,88.52593898625908,4.067634229970202,300.0,1182,1273,1112,1278,2045,1959,75,2109,1646920,0.2540639871255652,,1,test
352,LARD_test_synth/images/LICJ_20_35_30.jpeg,2648,2448,earth_studio,LARD_test_synth,LICJ_20_35,LICJ,20,,,,2020-05-01 13:00:01,0.05,0.05,73.01,0.0,3.21,-154.75969504868127,84.58645583848565,-3.215629910935396,300.0,1121,1021,1191,1025,292,1761,1933,1846,1353825,0.2088493535631775,,1,test
293,LARD_test_synth/images/LFSB_33_35_32.jpeg,2648,2448,earth_studio,LARD_test_synth,LFSB_33_35,LFSB,33,,,,2020-08-01 15:01:01,0.05,0.04,64.55,-0.24,2.92,-32.01415788101181,86.13330037008095,8.158401981826648,300.0,1622,1065,1551,1075,2420,1777,24,2051,2362456,0.3644469620678079,,1,test
289,LARD_test_synth/images/LFSB_33_35_27.jpeg,2648,2448,earth_studio,LARD_test_synth,LFSB_33_35,LFSB,33,,,,2020-08-01 15:01:01,0.15,0.15,106.72,-0.08,3.23,-24.786604766040284,81.24691381054791,-1.581795016147264,300.0,1177,842,1244,844,774,1205,1516,1225,284186,0.0438402765436486,,1,test
583,LARD_test_synth/images/VQPR_15_35_27.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-06-01 09:00:01,0.11,0.1,95.59,-0.14,3.34,156.05560430357164,85.16843896890953,-4.617162316323959,300.0,711,1236,760,1237,1106,1702,602,1704,235872,0.0363870623778212,,1,test
11,LARD_test_synth/images/CYVR_08L_35_32.jpeg,2648,2448,earth_studio,LARD_test_synth,CYVR_08L_35,CYVR,08L,,,,2020-04-01 23:00:01,0.16,0.15,112.39,0.48,3.32,106.07244251795954,85.87320097422077,2.1764208990148823,300.0,1408,924,1343,926,1439,1295,735,1316,275968,0.0425725174259028,,1,test
120,LARD_test_synth/images/FTTJ_23_35_29.jpeg,2648,2448,earth_studio,LARD_test_synth,FTTJ_23_35,FTTJ,23,,,,2020-06-01 12:00:01,0.07,0.07,80.75,-0.02,3.27,-130.2920406344288,86.60732251251989,-2.7715938079034457,300.0,972,1138,1019,1140,405,1752,1562,1793,757835,0.1169082782911754,,1,test
190,LARD_test_synth/images/KMIA_9_35_31.jpeg,2648,2448,earth_studio,LARD_test_synth,KMIA_9_35,KMIA,9,,,,2020-07-01 23:01:01,0.11,0.11,86.55,0.29,2.95,95.53879814375996,84.0114757514842,4.13834963904108,300.0,1258,1160,1299,1160,662,1566,1395,1569,299797,0.0462485252157257,,1,test
653,LARD_test_synth/images/ZBAA_19_35_32.jpeg,2648,2448,earth_studio,LARD_test_synth,ZBAA_19_35,ZBAA,19,,,,2020-08-01 10:00:01,0.05,0.05,53.6,0.08,2.37,177.24452361755945,84.18499545193116,5.325083465238003,300.0,1167,1275,1115,1281,2472,1746,235,1978,1572611,0.2426006247161503,,1,test
584,LARD_test_synth/images/VQPR_15_35_28.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-04-01 07:00:01,0.06,0.06,70.6,-0.12,2.96,146.92772126244952,85.83798428686508,-5.008601717161935,300.0,890,1321,840,1327,1557,1857,690,1982,573087,0.0884079179254783,,1,test
604,LARD_test_synth/images/WSSS_20R_35_28.jpeg,2648,2448,earth_studio,LARD_test_synth,WSSS_20R_35,WSSS,20R,,,,2020-04-01 10:01:01,0.07,0.07,63.52,-0.17,2.53,-160.60500868030104,85.56436048313128,-0.9514506493535008,300.0,1414,1079,1474,1080,909,1540,2438,1580,766029,0.1181723350216219,,1,test
397,LARD_test_synth/images/LSZH_34_35_29.jpeg,2648,2448,earth_studio,LARD_test_synth,LSZH_34_35,LSZH,34,,,,2020-08-01 12:01:01,0.08,0.08,86.67,-0.01,3.31,-19.94139948631433,85.83543156700024,5.068120743798932,300.0,934,1127,878,1132,1558,1628,328,1756,773670,0.1193510825780463,,1,test
17,LARD_test_synth/images/CYVR_26R_35_26.jpeg,2648,2448,earth_studio,LARD_test_synth,CYVR_26R_35,CYVR,26R,,,,2020-06-01 20:01:01,0.19,0.19,103.09,-0.38,2.77,-80.86886737829029,86.01014984204835,-1.6891980006093772,300.0,1247,1078,1182,1081,1712,1335,1132,1360,163560,0.025231769444938,,1,test
585,LARD_test_synth/images/VQPR_15_35_29.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-08-01 10:01:01,0.04,0.04,58.38,-0.08,2.68,146.91284274592664,82.51549565836694,-4.661101105667286,300.0,1110,1132,1060,1142,2028,1719,786,1978,1050732,0.1620923671583437,,1,test
325,LARD_test_synth/images/LGSM_9_35_31.jpeg,2648,2448,earth_studio,LARD_test_synth,LGSM_9_35,LGSM,9,,,,2020-07-01 15:01:01,0.04,0.04,58.87,0.05,2.69,97.01312684582112,84.79730851009322,-1.8160049765379096,300.0,1039,1042,1112,1044,208,1774,2106,1815,1467154,0.2263321806567541,,1,test
586,LARD_test_synth/images/VQPR_15_35_30.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-07-01 10:00:01,0.04,0.04,64.23,-0.19,3.0,149.28608824953182,87.55058461066912,8.24523903819763,300.0,1135,1089,1085,1095,2399,1860,1017,2043,1318428,0.2033887950950773,,1,test
587,LARD_test_synth/images/VQPR_15_35_31.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-08-01 08:00:01,0.03,0.03,64.57,0.18,3.09,153.2279968733952,88.60989843290697,0.342181898652723,300.0,1409,1247,1358,1249,1706,2311,118,2375,1791264,0.2763313784728393,,1,test
56,LARD_test_synth/images/EDDV_09L_35_26.jpeg,2648,2448,earth_studio,LARD_test_synth,EDDV_09L_35,EDDV,09L,,,,2020-06-01 14:01:01,0.15,0.15,96.68,0.15,2.92,86.37533780080635,84.65381754632618,1.548803245148067,300.0,1031,1150,1076,1150,1428,1487,875,1488,186914,0.0288345008194617,,1,test
351,LARD_test_synth/images/LICJ_20_35_29.jpeg,2648,2448,earth_studio,LARD_test_synth,LICJ_20_35,LICJ,20,,,,2020-07-01 12:00:01,0.05,0.05,82.31,0.11,3.57,-157.7083821894794,87.61117594509773,6.054244176380702,300.0,1328,1200,1258,1207,1958,1977,408,2128,1438400,0.2218964121398811,,1,test
603,LARD_test_synth/images/WSSS_20R_35_27.jpeg,2648,2448,earth_studio,LARD_test_synth,WSSS_20R_35,WSSS,20R,,,,2020-04-01 07:00:01,0.11,0.11,68.31,-0.07,2.37,-160.9903745979715,88.93821187316001,-1.1815560496976685,300.0,1429,1282,1487,1283,1011,1608,2040,1638,366324,0.0565113885433327,,1,test
133,LARD_test_synth/images/FTTJ_5_35_33.jpeg,2648,2448,earth_studio,LARD_test_synth,FTTJ_5_35,FTTJ,5,,,,2020-07-01 13:01:01,0.05,0.05,54.26,0.1,2.36,49.20093706822514,84.7170440578843,2.0946623357558347,300.0,1024,1038,973,1040,1537,1580,120,1646,861536,0.1329058310131706,,1,test
181,LARD_test_synth/images/KIAH_26R_35_29.jpeg,2648,2448,earth_studio,LARD_test_synth,KIAH_26R_35,KIAH,26R,,,,2020-04-01 23:01:01,0.06,0.06,74.45,0.11,3.11,-98.6857786275479,85.9114737404286,-9.408213276446642,300.0,1046,921,992,928,1588,1505,267,1687,1011886,0.1560997447821021,,1,test
582,LARD_test_synth/images/VQPR_15_35_25.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-06-01 08:01:01,0.17,0.16,117.64,-0.5,3.38,157.3044630178148,85.22451529026647,-1.1891922285238234,300.0,1389,1239,1434,1240,1526,1592,1851,1599,166320,0.0256575439843611,,1,test
602,LARD_test_synth/images/WSSS_20R_35_26.jpeg,2648,2448,earth_studio,LARD_test_synth,WSSS_20R_35,WSSS,20R,,,,2020-07-01 10:00:01,0.13,0.13,91.2,-0.22,2.9,-151.92553526798767,86.62343641598507,-3.6555738400211446,300.0,909,1126,967,1130,668,1474,1489,1518,321832,0.0496477795549236,,1,test
572,LARD_test_synth/images/VOTV_14_35_32.jpeg,2648,2448,earth_studio,LARD_test_synth,VOTV_14_35,VOTV,14,,,,2020-07-01 09:00:01,0.12,0.12,84.71,0.21,2.83,133.93004627146013,82.93918480522186,7.073078587187334,300.0,1311,918,1262,924,1498,1276,816,1358,300080,0.0462921825326303,,1,test
