index,predicted
0,3
1,8
2,8
4,6
5,6
6,1
9,1
10,0
13,7
14,9
15,8
16,5
18,8
20,7
21,0
23,9
26,4
28,9
29,6
30,6
32,4
34,9
37,1
38,9
39,5
41,6
42,5
43,6
44,0
45,9
46,3
50,9
51,8
53,3
54,8
55,8
62,6
64,6
66,1
70,2
71,6
72,8
73,8
76,9
78,3
79,8
80,8
82,1
84,2
88,8
89,9
90,0
92,8
93,6
94,4
96,6
98,0
99,7
102,6
103,3
104,1
105,1
107,6
108,8
112,6
113,2
115,3
116,0
118,2
120,8
122,1
123,2
124,8
126,8
129,2
133,9
136,9
137,7
138,2
140,6
141,5
142,6
144,8
145,7
146,6
148,5
150,8
151,9
152,6
153,0
154,0
156,2
157,9
159,4
161,1
163,6
164,8
166,8
169,0
170,9
173,8
174,9
175,9
177,7
181,5
182,2
183,2
185,8
186,6
187,3
190,5
193,1
194,7
196,8
197,8
199,8
202,8
203,7
204,1
207,5
208,7
212,5
217,9
219,2
220,7
221,6
222,9
224,3
225,9
230,5
231,1
232,5
234,8
235,0
236,4
237,0
240,1
241,1
243,9
244,0
251,3
252,9
255,0
257,0
260,8
264,0
265,8
267,4
268,7
269,0
270,2
271,3
272,6
274,8
275,5
280,9
282,6
283,1
285,9
286,1
288,7
289,9
290,1
291,2
292,6
296,6
297,0
298,0
299,6
300,6
301,6
307,2
308,1
310,8
311,6
313,0
315,0
316,7
317,7
318,5
319,5
321,5
327,5
329,6
330,1
331,9
333,6
334,6
335,9
337,8
338,0
339,7
341,6
344,8
345,5
348,8
350,9
351,1
353,2
354,2
360,9
361,5
362,8
364,9
369,1
371,7
372,9
374,2
375,7
379,6
380,6
381,9
382,0
384,2
386,7
389,5
390,1
392,6
395,6
396,2
397,3
400,9
403,8
404,8
406,0
408,8
409,2
413,6
414,1
415,9
416,0
419,7
420,4
423,0
424,2
425,9
427,4
429,6
430,2
431,5
433,7
435,7
440,1
441,4
442,9
443,9
444,5
445,7
447,0
448,2
449,2
451,9
452,7
454,9
460,5
461,6
462,1
463,4
464,3
469,8
471,7
472,8
473,0
475,7
481,6
482,8
483,5
484,5
486,9
487,9
489,0
490,1
493,1
495,8
497,2
498,2
499,0
501,6
502,5
504,9
509,4
510,5
511,6
512,6
514,5
516,8
517,9
519,8
520,5
521,7
522,0
523,7
524,0
527,0
529,6
530,9
532,9
533,5
534,6
535,6
539,0
541,7
542,6
543,7
544,5
545,9
546,1
547,6
549,5
550,5
552,8
553,5
554,9
557,4
558,3
559,2
560,0
562,6
566,9
568,9
570,6
571,7
572,1
575,6
576,8
578,7
580,4
581,0
584,0
588,8
589,9
590,6
592,2
593,6
594,1
596,7
597,3
598,5
599,3
600,8
601,5
602,0
603,2
604,1
605,6
607,3
608,3
609,9
610,6
612,8
613,8
615,8
617,6
619,1
621,7
622,1
623,2
624,7
625,9
626,9
627,4
629,1
632,6
634,7
635,6
637,3
643,7
644,9
649,5
650,3
651,9
653,6
654,9
656,1
657,1
658,4
660,9
661,4
662,7
663,6
664,3
665,8
667,0
670,6
680,9
681,6
684,9
693,7
694,8
696,8
698,7
700,7
703,8
704,7
709,8
710,6
711,8
712,8
713,7
715,3
721,8
722,8
723,1
724,8
726,1
728,6
729,5
732,7
733,9
736,1
738,1
741,7
742,0
743,7
745,7
747,6
748,2
749,5
750,9
752,9
753,1
754,2
756,6
757,8
759,1
763,0
764,1
765,2
768,5
769,4
772,6
773,4
774,0
777,6
781,1
782,7
783,6
787,9
788,6
789,8
791,0
794,7
799,2
800,7
801,1
803,7
805,4
806,8
807,4
810,5
812,7
813,2
815,8
816,9
821,2
822,0
823,8
824,7
827,6
828,5
830,1
832,2
837,2
838,9
839,2
840,7
842,7
843,2
844,1
847,0
849,4
851,9
852,8
854,0
855,7
856,7
857,0
858,7
859,8
860,4
864,0
865,1
867,7
868,0
871,1
872,4
874,3
875,8
876,4
877,2
879,7
880,8
881,4
883,0
884,9
885,0
887,1
890,4
892,7
894,1
895,1
896,3
899,5
901,6
902,6
903,5
904,8
907,6
908,8
909,8
911,3
914,0
915,1
916,3
917,8
918,8
920,6
921,9
922,9
925,5
928,0
930,4
931,2
934,7
935,2
937,5
939,8
942,7
943,4
944,0
946,0
947,1
951,9
952,6
953,1
954,4
955,7
958,7
959,8
960,9
962,1
963,6
964,6
967,9
968,1
969,9
971,4
972,2
973,1
975,0
976,6
977,8
978,1
979,9
983,4
984,7
985,8
987,1
990,1
992,8
994,6
996,8
997,1
998,3
999,8
1000,5
1001,0
1004,8
1005,1
1006,1
1007,8
1009,6
1010,0
1011,8
1013,1
1016,1
1017,6
1018,0
1020,1
1022,0
1023,0
1024,3
1025,5
1029,6
1033,3
1037,7
1038,2
1041,5
1044,8
1046,2
1048,1
1052,0
1056,3
1059,8
1060,9
1061,1
1062,6
1067,0
1068,9
1069,6
1071,6
1073,7
1074,3
1075,8
1076,0
1077,0
1078,0
1079,6
1080,6
1081,6
1082,9
1085,4
1087,6
1089,6
1090,0
1091,8
1096,7
1097,5
1098,1
1099,2
1101,8
1102,8
1103,0
1104,9
1106,9
1107,7
1108,2
1111,8
1112,3
1113,8
1114,9
1115,1
1118,4
1119,7
1121,3
1122,8
1125,6
1127,8
1131,1
1134,1
1135,6
1138,5
1139,8
1141,1
1142,8
1143,6
1145,4
1147,6
1149,7
1152,0
1153,8
1154,6
1155,9
1157,7
1158,1
1160,8
1162,7
1164,8
1165,0
1169,7
1170,7
1171,9
1172,2
1175,9
1176,1
1179,3
1183,0
1184,6
1186,4
1187,1
1188,0
1189,0
1190,1
1191,1
1192,6
1193,5
1195,6
1197,0
1198,7
1200,8
1201,7
1204,6
1205,8
1206,1
1209,7
1210,0
1211,6
1212,1
1213,8
1214,5
1215,7
1218,8
1225,6
1226,6
1227,3
1229,1
1230,5
1232,1
1235,5
1236,7
1237,0
1238,1
1243,8
1244,5
1247,3
1248,2
1249,4
1250,7
1252,5
1255,4
1258,1
1259,8
1260,1
1262,8
1263,8
1264,8
1267,4
1268,3
1271,8
1273,6
1274,3
1281,8
1282,9
1283,5
1284,8
1285,9
1286,8
1287,9
1288,1
1290,5
1291,9
1295,0
1298,9
1299,7
1301,1
1303,4
1305,9
1309,6
1310,0
1311,8
1312,6
1313,1
1316,5
1317,9
1319,0
1325,2
1326,6
1327,6
1332,1
1335,1
1338,6
1340,1
1341,4
1343,0
1345,4
1347,8
1349,8
1350,4
1351,7
1354,1
1358,8
1359,9
1360,7
1361,9
1364,4
1365,0
1366,8
1367,2
1368,3
1369,8
1370,9
1372,1
1375,4
1379,7
1381,6
1384,9
1385,5
1386,3
1387,9
1390,6
1392,2
1396,1
1397,0
1402,7
1404,1
1406,9
1408,1
1409,0
1410,1
1411,3
1412,1
1413,1
1415,7
1417,9
1419,8
1421,6
1422,8
1423,4
1427,9
1428,7
1429,6
1430,8
1431,4
1432,9
1433,7
1436,6
1438,5
1441,4
1444,1
1446,0
1447,8
1448,4
1449,6
1454,3
1455,6
1457,1
1459,8
1460,6
1461,0
1464,1
1466,7
1467,1
1471,8
1472,7
1473,7
1475,9
1476,7
1477,7
1478,7
1480,1
1481,2
1482,8
1483,6
1484,4
1485,0
1486,7
1488,8
1489,6
1490,8
1497,8
1499,8
1508,8
1509,1
1510,8
1511,1
1512,8
1515,2
1517,1
1518,3
1519,6
1520,7
1522,4
1524,3
1528,2
1532,8
1537,4
1538,3
1539,2
1540,8
1541,4
1542,5
1543,5
1544,4
1545,1
1546,4
1550,6
1551,4
1553,4
1555,0
1557,8
1558,4
1560,7
1561,5
1562,6
1564,1
1565,6
1566,7
1568,0
1569,1
1572,6
1573,0
1578,6
1579,0
1582,9
1585,7
1586,5
1589,6
1598,5
1599,5
1601,9
1604,1
1614,1
1616,7
1617,0
1619,4
1621,1
1624,4
1625,3
1626,9
1627,9
1630,9
1631,1
1632,8
1634,6
1635,7
1637,5
1639,9
1641,6
1645,4
1646,0
1647,7
1650,5
1651,0
1652,0
1654,9
1655,8
1656,2
1657,5
1659,8
1661,6
1663,6
1664,0
1665,6
1666,6
1667,6
1669,6
1671,8
1672,6
1674,4
1677,1
1679,7
1680,6
1682,7
1683,8
1689,9
1691,8
1692,9
1694,0
1695,9
1697,9
1699,7
1701,5
1703,5
1705,0
1706,1
1707,9
1709,2
1711,1
1712,0
1714,0
1716,1
1717,7
1719,0
1721,8
1722,6
1724,4
1725,0
1726,0
1729,8
1734,9
1737,6
1738,5
1740,1
1742,8
1743,1
1744,0
1745,5
1748,0
1750,8
1751,1
1752,5
1753,6
1754,7
1755,7
1757,6
1758,2
1759,5
1760,0
1765,4
1766,6
1770,7
1773,5
1775,3
1776,0
1777,4
1778,8
1780,7
1781,6
1783,8
1784,1
1785,0
1788,3
1792,9
1793,5
1795,6
1797,1
1798,4
1801,4
1804,5
1805,8
1806,1
1809,8
1811,1
1814,9
1816,7
1817,6
1818,5
1819,0
1824,9
1825,2
1826,8
1827,4
1828,7
1829,1
1831,9
1833,8
1839,7
1841,9
1842,4
1843,8
1844,9
1845,7
1847,5
1849,7
1851,0
1853,9
1854,5
1855,5
1856,8
1857,5
1858,4
1860,8
1864,7
1866,8
1867,6
1869,8
1873,6
1874,8
1875,0
1877,3
1878,7
1879,0
1880,1
1881,9
1882,1
1885,5
1886,8
1890,6
1891,8
1893,9
1895,8
1896,9
1899,7
1900,8
1901,5
1903,0
1904,1
1908,5
1909,3
1910,4
1911,4
1912,0
1913,9
1914,9
1915,9
1917,8
1919,4
1922,5
1923,1
1926,0
1928,4
1932,0
1937,1
1938,8
1941,7
1942,2
1943,8
1946,8
1948,5
1949,0
1950,5
1951,7
1952,4
1956,7
1958,6
1959,0
1961,7
1962,6
1965,0
1966,7
1967,7
1968,8
1970,1
1973,0
1974,6
1976,5
1978,6
1979,3
1980,9
1982,6
1988,5
1989,6
1991,1
1992,6
1993,3
1995,2
1996,3
2001,5
2002,4
2004,7
2005,5
2006,7
2007,8
2008,9
2009,1
2011,2
2012,5
