index,image,height,width,type,original_dataset,scenario,airport,runway,time_to_landing,weather,night,time,slant_distance,along_track_distance,height_above_runway,lateral_path_angle,vertical_path_angle,yaw,pitch,roll,watermark_height,x_A,y_A,x_B,y_B,x_C,y_C,x_D,y_D,bbox_area,bbox_area_ratio,approach,label,split
583,LARD_test_synth/images/VQPR_15_35_27.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-06-01 09:00:01,0.11,0.1,95.59,-0.14,3.34,156.05560430357164,85.16843896890953,-4.617162316323959,300.0,711,1236,760,1237,1106,1702,602,1704,235872,0.0363870623778212,,1,test
587,LARD_test_synth/images/VQPR_15_35_31.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-08-01 08:00:01,0.03,0.03,64.57,0.18,3.09,153.2279968733952,88.60989843290697,0.342181898652723,300.0,1409,1247,1358,1249,1706,2311,118,2375,1791264,0.2763313784728393,,1,test
584,LARD_test_synth/images/VQPR_15_35_28.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-04-01 07:00:01,0.06,0.06,70.6,-0.12,2.96,146.92772126244952,85.83798428686508,-5.008601717161935,300.0,890,1321,840,1327,1557,1857,690,1982,573087,0.0884079179254783,,1,test
604,LARD_test_synth/images/WSSS_20R_35_28.jpeg,2648,2448,earth_studio,LARD_test_synth,WSSS_20R_35,WSSS,20R,,,,2020-04-01 10:01:01,0.07,0.07,63.52,-0.17,2.53,-160.60500868030104,85.56436048313128,-0.9514506493535008,300.0,1414,1079,1474,1080,909,1540,2438,1580,766029,0.1181723350216219,,1,test
544,LARD_test_synth/images/VDPP_23_35_30.jpeg,2648,2448,earth_studio,LARD_test_synth,VDPP_23_35,VDPP,23,,,,2020-06-01 08:01:01,0.1,0.1,74.87,0.35,2.68,-124.67654787408074,84.69593741027398,6.556702976540665,300.0,655,1097,604,1103,1414,1401,620,1511,335340,0.0517316065398969,,1,test
161,LARD_test_synth/images/HTDA_23_35_32.jpeg,2648,2448,earth_studio,LARD_test_synth,HTDA_23_35,HTDA,23,,,,2020-07-01 12:00:01,0.07,0.07,79.76,-0.05,3.19,-134.53423698984406,87.3684991740219,2.2150315515112324,300.0,1201,1191,1154,1192,1692,1771,578,1816,696250,0.1074077982149556,,1,test
603,LARD_test_synth/images/WSSS_20R_35_27.jpeg,2648,2448,earth_studio,LARD_test_synth,WSSS_20R_35,WSSS,20R,,,,2020-04-01 07:00:01,0.11,0.11,68.31,-0.07,2.37,-160.9903745979715,88.93821187316001,-1.1815560496976685,300.0,1429,1282,1487,1283,1011,1608,2040,1638,366324,0.0565113885433327,,1,test
602,LARD_test_synth/images/WSSS_20R_35_26.jpeg,2648,2448,earth_studio,LARD_test_synth,WSSS_20R_35,WSSS,20R,,,,2020-07-01 10:00:01,0.13,0.13,91.2,-0.22,2.9,-151.92553526798767,86.62343641598507,-3.6555738400211446,300.0,909,1126,967,1130,668,1474,1489,1518,321832,0.0496477795549236,,1,test
586,LARD_test_synth/images/VQPR_15_35_30.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-07-01 10:00:01,0.04,0.04,64.23,-0.19,3.0,149.28608824953182,87.55058461066912,8.24523903819763,300.0,1135,1089,1085,1095,2399,1860,1017,2043,1318428,0.2033887950950773,,1,test
543,LARD_test_synth/images/VDPP_23_35_29.jpeg,2648,2448,earth_studio,LARD_test_synth,VDPP_23_35,VDPP,23,,,,2020-04-01 07:00:01,0.12,0.12,83.05,-0.33,2.79,-130.17293285664388,84.76590007232662,3.0679194953029816,300.0,958,1054,909,1056,1027,1423,328,1468,289386,0.0446424604585036,,1,test
582,LARD_test_synth/images/VQPR_15_35_25.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-06-01 08:01:01,0.17,0.16,117.64,-0.5,3.38,157.3044630178148,85.22451529026647,-1.1891922285238234,300.0,1389,1239,1434,1240,1526,1592,1851,1599,166320,0.0256575439843611,,1,test
585,LARD_test_synth/images/VQPR_15_35_29.jpeg,2648,2448,earth_studio,LARD_test_synth,VQPR_15_35,VQPR,15,,,,2020-08-01 10:01:01,0.04,0.04,58.38,-0.08,2.68,146.91284274592664,82.51549565836694,-4.661101105667286,300.0,1110,1132,1060,1142,2028,1719,786,1978,1050732,0.1620923671583437,,1,test
523,LARD_test_synth/images/SEQM_18_35_28.jpeg,2648,2448,earth_studio,LARD_test_synth,SEQM_18_35,SEQM,18,,,,2020-07-01 17:01:01,0.04,0.04,67.19,0.08,3.05,177.71968245303256,87.54908419437457,-1.5067511588821958,300.0,1196,1161,1232,1162,76,1983,1942,2030,1621554,0.2501508722824477,,1,test
553,LARD_test_synth/images/VDPP_5_35_26.jpeg,2648,2448,earth_studio,LARD_test_synth,VDPP_5_35,VDPP,5,,,,2020-06-01 07:00:01,0.12,0.12,87.13,-0.44,2.85,53.39656160629937,84.47539442841543,0.7995216501478721,300.0,802,1032,753,1033,1448,1381,802,1400,255760,0.0394551073198665,,1,test
