model,image
6cnn_tz_9_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_142_tz_0.png
6cnn_tz_9_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_350_tz_0.png
6cnn_tz_9_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_286_tz_0.png
6cnn_tz_9_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_175_tz_0.png
6cnn_tz_9_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_42_tz_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_119_ry_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_27_ry_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_192_ry_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_124_ry_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_213_ry_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_112_ry_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_66_ry_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_418_ry_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_109_ry_0.png
4cnn_ry_3_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_1_ry_0.png
4cnn_tz_102_17_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/telephone/img_395_tz_0.png
4cnn_tz_102_17_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/telephone/img_226_tz_0.png
4cnn_tz_102_17_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/telephone/img_489_tz_0.png
4cnn_tz_102_17_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/telephone/img_96_tz_0.png
